epoch	dropout	ppl
1	0.7	527.1251576645394
2	0.7	226.72536690030833
3	0.7	184.63058234266768
4	0.7	165.70090929285163
5	0.7	152.31899347278963
6	0.7	144.84171179247315
7	0.7	137.79962316080926
8	0.7	125.45352932430454
9	0.7	121.04462703073501
10	0.7	118.99412480682983
11	0.7	117.48124632881652
12	0.7	116.49942287845279
13	0.7	115.65623513993721
14	0.7	115.06266351316253
15	0.7	114.61740069842328
16	0.7	114.51543742692691
17	0.7	114.00076546782708
18	0.7	114.46712091463411
19	0.7	114.83607955231274
20	0.7	114.32435863351911
